"","class","shippable","trans_elapsed_secs_d","time_delta","amount_delta","diff_avg_trans_amount_y","trans_count_d","trans_count_ratio_y","trans_total_y","notShippable_total_y","nonShippable_ratio_y","account_age","mean_time_delta_d","time_from_refDate","cust_ip_count_y","trans_card2_ratio_y","source_H","source_E","bill_loc_T","bill_loc_U","isWeekDay","spring","summer","fall","winter","bhours"
"411","0",1,0.6551578,-0.15338,0.7196473,2.181906e-19,-0.198512,1,0.2502912,-0.2417568,0,-0.3456531,0.6914015,1.708927,-0.0890118,1,1,0,0,1,1,0,1,0,0,0
"412","0",0,0.190792345199244,0.0951159685518387,1.19686247438196,-1.88261931798632,-0.198511962336195,0.5,0.814105278494045,1.30959913816002,0.780518264127381,-0.345653140066393,0.18164108090809,-1.43260531675412,0.201467224166062,2,1,0,0,1,0,0,0,1,0,1
"414","0",0,0.0643794563909055,-0.232361815078596,0.234228859517237,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,2.09662858005898,-0.439094090065789,-0.906007043016214,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,1
"415","0",0,-3.457162,0.3639037,-0.09214579,2.181906e-19,-0.198512,1,-0.1658141,0.01680252,1,-0.3456531,0.9731101,0.9286422,-0.0890118,1,1,0,0,1,1,0,0,0,1,0
"417","0",1,-1.585547,8.442834,0.3401186,2.181906e-19,-0.198512,1,0.05967639,-0.2417568,0,1.847832,2.729828,1.135794,-0.0890118,1,1,0,0,0,1,0,1,0,0,1
"419","0",0,-0.4106872,-0.2123822,0.1505216,2.181906e-19,-0.198512,1,-0.1658141,0.01680252,1,-0.24811,-0.5323673,-0.3335712,-0.0890118,1,1,0,0,1,1,0,0,1,0,1
"420","0",0,0.3421978,-0.2364202,0.3597898,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,1.204541,-0.4379266,-0.3502179,-0.0890118,1,1,0,0,0,0,0,0,1,0,1
"421","0",0,-3.912069,-0.1833494,-0.1257124,-0.1746076,-0.198512,0.5,0.03933711,0.3787856,1,-0.3456531,-0.6329403,0.4723163,0.2014672,0.5,1,0,0,1,0,1,0,0,0,0
"422","0",0,0.090269589270822,-0.198958456786454,0.359789765803939,2.18190576893974e-19,-0.198511962336195,0.5,0.273795626696344,0.792480491104948,1,-0.345653140066393,0.26894014590801,-1.23820640298784,0.201467224166062,2,1,0,1,0,1,1,0,0,0,1
"423","0",0,-0.3395757,-0.2345471,0.1505216,0.436519,-0.198512,0.5,0.1272591,0.5339212,1,-0.3184892,-0.5787991,0.01090033,-0.0890118,2,1,0,0,1,1,1,0,0,0,1
"424","0",0,-0.4265665,0.1088519,-0.2094197,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,0.01241648,-0.1129474,0.3201205,-0.0890118,1,1,0,0,1,1,0,0,0,1,1
"425","0",1,-0.8776762,-0.1184158,0.7113603,-2.151995,2.45347,0.5,3.831762,-0.2417568,0,4.130217,0.9631998,1.583,-0.0890118,8,1,0,0,1,1,1,0,0,0,1
"426","0",0,0.397153964340765,-0.208948246182235,0.359789765803939,2.18190576893974e-19,-0.198511962336195,1,-0.0192775192125855,0.275361844049873,1,-0.3302191049291,-0.130877546575746,-1.52899925983524,-0.0890117975074001,1,1,0,0,1,0,0,1,0,0,1
"427","0",1,1.009956,0.7360234,1.357664,2.181906e-19,-0.198512,1,0.7263592,-0.2417568,0,1.200837,6.762154,-0.2015489,-0.0890118,1,1,0,0,1,0,0,0,0,1,0
"431","0",1,-3.488644,0.2181153,-0.2187949,2.181906e-19,-0.198512,1,-0.09389394,-0.2417568,0,0.7532502,-0.2829423,0.2902474,-0.0890118,1,1,0,0,1,0,0,0,1,0,0
"433","0",0,-0.582114421709194,-0.210821331693944,0.134952036279884,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,-0.286386445139185,-0.463304645580635,-0.642857603324104,-0.0890117975074001,1,1,0,0,0,1,1,0,0,0,1
"434","0",0,-0.20770858008843,-0.232673995997214,-0.627956030318119,2.18190576893974e-19,-0.198511962336195,1,-0.16581409216705,0.0168025205223347,1,-0.153036381552967,-0.605749493658412,-1.10509429481891,-0.0890117975074001,1,1,0,0,1,1,0,1,0,0,1
