"","class","shippable","trans_elapsed_secs_d","time_delta","amount_delta","diff_avg_trans_amount_y","trans_count_d","trans_count_ratio_y","trans_total_y","notShippable_total_y","nonShippable_ratio_y","account_age","mean_time_delta_d","time_from_refDate","cust_ip_count_y","trans_card2_ratio_y","source_H","source_E","bill_loc_T","bill_loc_U","isWeekDay","spring","summer","fall","winter","bhours"
"51","0",1,0.145018590267552,-0.232986176915832,0.240339490289856,2.18190576893974e-19,-0.198511962336195,1,-0.102920595054994,-0.241756803005203,0,2.48741834973526,-0.280682522517841,-1.1203128019994,-0.0890117975074001,1,1,0,0,1,1,1,0,0,0,1
"52","0",1,-3.536075,-0.1065529,-3.384018,6.029783,1.569476,1,3.361321,-0.2417568,0,-0.3456531,0.6346489,1.40014,-0.0890118,0.75,1,0,1,0,1,0,0,1,0,0
"53","0",0,1.116278,-0.2226842,0.2091167,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,1.815729,-0.5441428,0.8548017,-0.0890118,1,1,0,0,1,1,0,0,0,1,0
"54","0",0,-0.438096242542513,-0.227991282217942,0.234228859517237,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,0.713739031757453,-0.394875805887819,-0.87704883866638,-0.0890117975074001,1,1,0,1,0,0,0,0,1,0,1
"55","0",0,-0.1450199,-0.2164406,0.3597898,2.181906e-19,-0.198512,0.5,0.2737956,0.7924805,1,0.02291162,-0.3626701,-0.4850624,-0.0890118,2,1,0,0,1,1,0,1,0,0,1
"56","0",1,0.7022433,-0.001972297,-0.04116806,-3.493316,-0.198512,0.3333333,0.8748886,0.1202262,0.1727968,-0.3055246,0.2767013,1.410413,0.2014672,0.75,1,0,1,0,1,0,0,1,0,0
"58","0",0,0.2509955,-0.2264304,-1.05704,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,3.745601,-0.3203685,0.5973878,-0.0890118,1,1,0,0,1,1,0,1,0,0,1
"59","0",1,-0.6345851,-0.2236207,0.123819,-0.05377915,-0.198512,0.5,-0.07472696,-0.2417568,0,-0.3277497,-0.3699189,-0.43773,-0.0890118,2,1,0,0,1,0,0,1,0,0,1
"61","0",1,-0.9671525,0.6411204,2.461261,2.181906e-19,-0.198512,1,1.557749,-0.2417568,0,0.7168258,0.17552,1.733005,-0.0890118,1,1,0,0,0,1,0,1,0,0,1
"62","0",0,-0.07625575,0.1160321,0.3597898,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,5.615589,0.07678504,0.8254084,-0.0890118,1,1,0,0,0,1,0,0,1,0,1
"63","0",0,1.158255,-0.2023924,-0.4186879,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,5.805736,-0.6329403,0.4736175,-0.0890118,1,1,0,0,1,0,1,0,0,0,0
"64","0",0,1.608674,1.557059,-0.1518291,2.181906e-19,-0.198512,1,-0.2018035,-0.04669965,1,0.6359515,0.01400867,-0.04524308,-0.0890118,1,1,0,0,1,1,1,0,0,0,0
"65","0",1,-3.736223,4.769401,-0.9280466,2.181906e-19,-0.198512,1,0.08400146,-0.2417568,0,-0.3456531,1.51801,-0.1752107,-0.0890118,1,1,0,0,1,1,0,0,0,1,0
